phrase_i,avg_diva
0,96.18531597461971
1,129.8466978931616
2,269.29878794213477
3,131.27862916419312
4,111.30146440296217
5,148.7546113925754
6,211.34431217438527
7,134.46446830993742
8,222.81116210638757
9,243.82996875503486
10,237.5714400051286
11,396.1349805617408
12,358.16017976578246
13,344.14023243435736
14,400.3028057458701
15,597.1929740866195
